Date,Open,High,Low,Close,Volume
2019-08-04,3919.64,3981.74,3839.26,3929.38,30141927424
2019-08-03,3857.48,3982.68,3837.16,3919.19,29818454016
2019-08-02,3870.69,3948.76,3802.47,3856.95,33078007808
2019-08-01,3843.53,3913.07,3747.55,3870,32620664832
2019-07-31,3714.34,3870.23,3705.73,3844.03,32780539904
2019-07-30,3686.77,3776.53,3625.68,3715.98,28164933632
2019-07-29,3701.3,3760.91,3644.64,3680.39,28345933824
2019-07-28,3695.59,3743.36,3566.8,3702.29,28353464320
2019-07-27,3871.86,3956.16,3644.69,3693.95,33647132672
2019-07-26,3835.57,3895.95,3746.83,3871.59,29955065856
2019-07-25,3834.49,3946.87,3787.83,3835.03,33148706816
2019-07-24,3791.29,3893.52,3654.53,3835.21,37448511488
2019-07-23,3943.36,3985.37,3734.3,3794.14,35887415296
2019-07-22,4048.69,4105.1,3850.27,3942.59,33329256448
2019-07-21,4094.42,4156.68,3931.12,4048.85,34579386368
2019-07-20,3933.94,4211.52,3909.1,4092.82,40922681344
2019-07-19,3961.65,4023.17,3792.96,3933.24,40874201088
2019-07-18,3642.02,4014.89,3555.18,3963.23,50220457984
2019-07-17,3475.34,3779,3375.01,3641.43,51164876800
2019-07-16,3990.28,4052.3,3433.38,3479.1,48052248576
2019-07-15,3860.82,4071.3,3656.53,3990.74,50794414080
2019-07-14,4356.63,4386.46,3842.16,3859.37,44465975296
2019-07-13,4521.99,4552.25,4211.25,4355.81,39673974784
2019-07-12,4350.29,4638.07,4258.67,4523.36,45473038336
2019-07-11,4712.66,4736.29,4222.25,4347.83,56330620928
2019-07-10,4978.77,5106.46,4556.74,4714.37,62755946496
2019-07-09,5005.25,5128.81,4889.37,4978.72,52089159680
2019-07-08,4876.66,5068.89,4815.21,5004.93,45685944320
2019-07-07,4744.78,4923.53,4699.11,4876.54,39412592640
2019-07-06,4706.83,4906.81,4673.69,4742.59,41349365760
2019-07-05,4721.29,4841.4,4623.98,4706.06,46666391552
2019-07-04,4947.28,5008.3,4679.92,4722.76,49254682624
2019-07-03,4699.88,4981.09,4672.87,4946.88,56570327040
2019-07-02,4715.43,4814.9,4369.24,4696.95,59475488768
2019-07-01,4686.84,4894.24,4459.26,4716.5,57930739712
2019-06-30,5157.45,5242.2,4675.46,4692.76,55063597056
2019-06-29,5063.96,5189.29,4788.9,5108.19,59439923200
2019-06-28,4715.88,5112.46,4636.1,5063.63,66326777856
2019-06-27,5377.3,5476.35,4462.64,4715.26,78067924992
2019-06-26,5269.07,5776.57,5064.97,5374.46,88848457728
2019-06-25,5124.07,5347.35,5025.16,5270.41,52092190720
2019-06-24,5074.99,5177.48,4940.63,5122.33,42416123904
2019-06-23,5102.07,5283.97,4999.02,5074.05,45719089152
2019-06-22,4840.43,5315.27,4805.61,5102.6,64521740288
2019-06-21,4630.6,4873.01,4620.14,4833.63,44676567040
2019-06-20,4629.3,4709.12,4512.63,4630.64,37317537792
2019-06-19,4565.11,4678.65,4540.22,4629.44,31974526976
2019-06-18,4688.07,4731.06,4495.83,4564.9,35674181632
2019-06-17,4573.09,4770.89,4545.77,4687.28,34611671040
2019-06-16,4517.51,4705.91,4471.99,4574.6,49757097984
2019-06-15,4448.59,4566.13,4402.32,4519.08,41164406784
2019-06-14,4369.31,4494.79,4250.43,4448.03,43701510144
2019-06-13,4376.4,4493.91,4291.76,4370.64,43284729856
2019-06-12,4231.42,4422.46,4186.11,4377.27,43501285376
2019-06-11,4262.77,4306.03,4111.08,4229.9,39077101568
2019-06-10,4056.5,4293.6,3994.74,4260.21,42933903360
2019-06-09,4234.93,4260.06,3981.38,4057.97,38273400832
2019-06-08,4295.07,4348.73,4152.6,4237.17,38251642880
2019-06-07,4190.88,4375.56,4145.67,4295.4,43901296640
2019-06-06,4172.22,4267.91,3981.67,4190.64,43719831552
2019-06-05,4122.32,4252.75,4046.39,4174.02,47423909888
2019-06-04,4367.38,4396.75,3993.91,4121.09,55020482560
2019-06-03,4639.77,4721.17,4316.29,4369.32,51060854784
2019-06-02,4537.56,4711.44,4508.66,4640.73,45913194496
2019-06-01,4576.13,4666.48,4448.88,4534.57,51852570624
2019-05-31,4367.01,4593.91,4259.95,4575.48,56823283712
2019-05-30,4580.69,4888.16,4254.57,4366.28,67925254144
2019-05-29,4484.19,4680.13,4296.52,4583.12,52830375936
2019-05-28,4477.65,4566.9,4354.73,4485.14,54670770176
2019-05-27,4306.34,4571.91,4272.21,4480.98,63924547584
2019-05-26,4045.16,4345.24,3951.53,4306.27,54088302592
2019-05-25,4029.64,4122.16,3983.66,4045.36,45092900864
2019-05-24,3956.42,4137.09,3898.43,4027.23,52951330816
